time	 Flung	 Palv	 Pel	 Pmus	 Vabs	 Vti	 Vte	 Vt	 Vtmax	 PCO2	 SCO2	 VCO2	 Pao	 Fip	 Fop	 stateP	 Pcirc	 Fmax	 Fstop
0	 1.043307	 0.06479999999999819	 0.06479999999999819	 0	 2.50324	 0.00324	 0	 0.00324	 0.00324	 0	 0	 0	 1.6307999999999996	 0.18	 1.0799999999999998	 1	 undefined	 undefined	 undefined
0.003	 0.9893888680499999	 0.11639051999999594	 0.11639051999999594	 0	 2.505819526	 0.005819526	 0	 0.005819526	 0.005819526	 0	 0	 0	 4.027161419999999	 0.18	 0.859842	 1	 undefined	 undefined	 undefined
0.006	 0.9590116147980075	 0.1705863124979956	 0.1705863124979956	 0	 2.5085293156249	 0.0085293156249	 0	 0.0085293156249	 0.0085293156249	 0	 0	 0	 5.377261564532997	 0.18	 0.9032632083000001	 1	 undefined	 undefined	 undefined
0.009000000000000001	 0.9372283429015587	 0.2241813729952824	 0.2241813729952824	 0	 2.511209068649764	 0.011209068649764136	 0	 0.011209068649764136	 0.011209068649764136	 0	 0	 0	 6.345406982152946	 0.18	 0.8932510082880452	 1	 undefined	 undefined	 undefined
0.012	 0.9226141971976725	 0.2778257283910346	 0.2778257283910346	 0	 2.5138912864195517	 0.013891286419551967	 0	 0.013891286419551967	 0.013891286419551967	 0	 0	 0	 6.994924568992333	 0.18	 0.894072589929277	 1	 undefined	 undefined	 undefined
0.015	 0.9124880325364926	 0.3313876816900674	 0.3313876816900674	 0	 2.5165693840845034	 0.016569384084503536	 0	 0.016569384084503536	 0.016569384084503536	 0	 0	 0	 7.444976331711439	 0.18	 0.8926992216505232	 1	 undefined	 undefined	 undefined
0.018	 0.9054133887031239	 0.3848940127767353	 0.3848940127767353	 0	 2.5192447006388368	 0.019244700638836765	 0	 0.019244700638836765	 0.019244700638836765	 0	 0	 0	 7.759404946527825	 0.18	 0.8917721847777424	 1	 undefined	 undefined	 undefined
0.020999999999999998	 0.9003614737824096	 0.4383393738144381	 0.4383393738144381	 0	 2.521916968690722	 0.021916968690721857	 0	 0.021916968690721857	 0.021916968690721857	 0	 0	 0	 7.983934498559572	 0.18	 0.8907560172950306	 1	 undefined	 undefined	 undefined
0.023999999999999997	 0.8966608504160998	 0.4917249300496529	 0.4917249300496529	 0	 2.5245862465024826	 0.024586246502482652	 0	 0.024586246502482652	 0.024586246502482652	 0	 0	 0	 8.148406648173339	 0.18	 0.8897592705869313	 1	 undefined	 undefined	 undefined
0.026999999999999996	 0.893860969067617	 0.5450505262564587	 0.5450505262564587	 0	 2.527252526312823	 0.02725252631282274	 0	 0.02725252631282274	 0.02725252631282274	 0	 0	 0	 8.27284581921702	 0.18	 0.8887599367800292	 1	 undefined	 undefined	 undefined
